MATCHKEY,CITYLABEL,FREQ,LAT,LNG,TYPE,STATEEMP,STATEWORK,NATEMP,NATWORK
MALTA-NY,"MALTA, NY",1,42.985439,-73.786824,National Top Worksite,False,False,False,True
HOUSTON-VI,"HOUSTON, VI",1,38.82268405,-77.0454486216817,State Top Employer,True,False,False,False
HUMACAO-PR,"HUMACAO, PR",1,18.163938100000003,-65.7994517,State Top Employer,True,False,False,False
MADISON-SD,"MADISON, SD",1,44.006085,-97.11395,State Top Employer,True,False,False,False
MADISON-AL,"MADISON, AL",1,34.7736807,-86.5675095,State Top Employer,True,False,False,False
INDEPENDENCE-MT,"INDEPENDENCE, MT",1,45.212438,-110.24630309999999,State Top Employer,True,False,False,False
MACHIAS-ME,"MACHIAS, ME",1,44.715514,-67.461548,State Top Employer,True,False,False,False
MARS HILL-ME,"MARS HILL, ME",1,46.521431,-67.81363449999999,State Top Employer,True,False,False,False
LORDSBURG-NM,"LORDSBURG, NM",1,32.3504143,-108.70843470000001,State Top Employer,True,False,False,False
LIVINGSTON-AL,"LIVINGSTON, AL",1,32.5843026,-88.1872474,State Top Employer,True,False,False,False
LEXINGTON-SC,"LEXINGTON, SC",1,33.9815369,-81.23621340000001,State Top Employer,True,False,False,False
LEWISTON-ME,"LEWISTON, ME",1,44.100351,-70.2147764,State Top Employer,True,False,False,False
JEFFERSON CITY-MO,"JEFFERSON CITY, MO",1,38.769878999999996,-92.21498270000001,State Top Employer,True,False,False,False
LAVERNE-OK,"LAVERNE, OK",1,36.7097549,-99.8934612,State Top Employer,True,False,False,False
JOHNSTON-RI,"JOHNSTON, RI",1,41.8310404,-71.54121009999999,State Top Employer,True,False,False,False
LAS VEGAS-NM,"LAS VEGAS, NM",1,35.5939325,-105.2238969,State Top Employer,True,False,False,False
LAFAYETTE-LA,"LAFAYETTE, LA",1,30.2240897,-92.0198427,State Top Employer,True,False,False,False
KINGSHILL-VI,"KINGSHILL, VI",1,17.72663875,-64.77911693055529,State Top Employer,True,False,False,False
KANSAS CITY-MT,"KANSAS CITY, MT",1,39.0844687,-94.5630298,State Top Employer,True,False,False,False
KEARNEY-NE,"KEARNEY, NE",1,40.699478000000006,-99.081858,State Top Employer,True,False,False,False
INEZ-KY,"INEZ, KY",1,37.8664833,-82.53876329999999,State Top Employer,True,False,False,False
RICHMOND-VI,"RICHMOND, VI",1,37.53850870000001,-77.43428,State Top Employer,True,False,False,False
HERMOSA-SD,"HERMOSA, SD",1,43.839867,-103.191374,State Top Employer,True,False,False,False
HAWORTH-OK,"HAWORTH, OK",1,33.846500299999995,-94.6527114,State Top Employer,True,False,False,False
MOREHEAD-KY,"MOREHEAD, KY",1,38.1839705,-83.43268409999999,State Top Employer,True,False,False,False
GEORGETOWN-KY,"GEORGETOWN, KY",1,38.209796999999995,-84.55883100000001,State Top Employer,True,False,False,False
GERMANTOWN-TN,"GERMANTOWN, TN",1,35.08675770000001,-89.8100858,State Top Employer,True,False,False,False
MONTVILLE-NJ,"MONTVILLE, NJ",1,40.914820899999995,-74.383763,National Top Employer,False,False,True,False
GLEN ALLEN-VA,"GLEN ALLEN, VA",1,37.665978100000004,-77.506374,State Top Employer,True,False,False,False
GMF BARRIGADA-GU,"GMF BARRIGADA, GU",1,13.478239000000002,144.808854,State Top Employer,True,False,False,False
MOBILE-AL,"MOBILE, AL",1,30.6943566,-88.04305409999999,State Top Employer,True,False,False,False
GRAND ISLAND-NE,"GRAND ISLAND, NE",1,40.924271000000005,-98.338685,State Top Employer,True,False,False,False
GRAND RAPIDS-MH,"GRAND RAPIDS, MH",1,42.963359999999994,-85.668086,State Top Employer,True,False,False,False
GREENBELT-MD,"GREENBELT, MD",1,39.004554399999996,-76.8755282,State Top Employer,True,False,False,False
GREENSBORO-VT,"GREENSBORO, VT",1,44.576774,-72.296219,State Top Employer,True,False,False,False
HAZARD-KY,"HAZARD, KY",1,37.24954,-83.19322840000001,State Top Employer,True,False,False,False
MIAMI-FM,"MIAMI, FM",1,35.6946926,-100.6435631,State Top Employer,True,False,False,False
GUAYNOBO-PR,"GUAYNOBO, PR",1,18.361555,-66.111068,State Top Employer,True,False,False,False
MEQUON-WI,"MEQUON, WI",1,43.2219088,-87.98229690000001,State Top Employer,True,False,False,False
MEDFORD-OR,"MEDFORD, OR",1,42.326418100000005,-122.8718605,State Top Employer,True,False,False,False
MECHANICSBURG-PA,"MECHANICSBURG, PA",1,40.2101972,-77.0047276,National Top Employer,False,False,True,False
MATIE-GU,"MATIE, GU",1,-17.8387305,-149.1699633,State Top Employer,True,False,False,False
HARMON-GU,"HARMON, GU",1,34.7486602,-99.8358205,State Top Employer,True,False,False,False
MASON CITY-IA,"MASON CITY, IA",1,43.15357279999999,-93.2010367,State Top Employer,True,False,False,False
MARYLAND HEIGHTS-MS,"MARYLAND HEIGHTS, MS",1,38.718005,-90.4256684842676,State Top Employer,True,False,False,False
HAVRE-MT,"HAVRE, MT",1,48.549999,-109.6840887,State Top Employer,True,False,False,False
MERIDIAN-ID,"MERIDIAN, ID",1,43.6086295,-116.392326,State Top Employer,True,False,False,False
DAMARISCOTTA-ME,"DAMARISCOTTA, ME",1,44.032857299999996,-69.5186585,State Top Employer,True,False,False,False
PRIOR LAKE-MN,"PRIOR LAKE, MN",1,44.7133271,-93.4226873,State Top Employer,True,False,False,False
TOUGALOO-MS,"TOUGALOO, MS",1,32.3976436,-90.15897609999999,State Top Employer,True,False,False,False
BAR HARBOR-ME,"BAR HARBOR, ME",1,44.3864565,-68.21185708110029,State Top Employer,True,False,False,False
WATERTOWN-SD,"WATERTOWN, SD",1,44.899211,-97.115289,State Top Employer,True,False,False,False
BARROW-AK,"BARROW, AK",1,71.285478,-156.736772403846,State Top Employer,True,False,False,False
WATERLOO-IA,"WATERLOO, IA",1,42.4996483,-92.33850059999999,State Top Employer,True,False,False,False
BEAR-DE,"BEAR, DE",1,39.629278799999994,-75.6582628,State Top Employer,True,False,False,False
WAILEA-HI,"WAILEA, HI",1,19.8857764,-155.12303269999998,State Top Employer,True,False,False,False
VERNON-CT,"VERNON, CT",1,41.838292100000004,-72.46633309999999,State Top Employer,True,False,False,False
BELOIT-WI,"BELOIT, WI",1,42.508327200000004,-89.031784,State Top Employer,True,False,False,False
WATERVILLE-ME,"WATERVILLE, ME",1,44.5520105,-69.63171209999999,State Top Employer,True,False,False,False
UPPER TUMON-GU,"UPPER TUMON, GU",1,13.5175098,144.8172819,State Top Employer,True,False,False,False
BILLERICA-ME,"BILLERICA, ME",1,42.558422,-71.268946,State Top Employer,True,False,False,False
TUMON-GU,"TUMON, GU",1,13.50948135,144.811343904351,State Top Employer,True,False,False,False
TRES PIEDRAS-NM,"TRES PIEDRAS, NM",1,36.647220000000004,-105.96680390000002,State Top Employer,True,False,False,False
RIO PIEDRAS-SAN JUAN-PR,"RIO PIEDRAS, SAN JUAN, PR",1,18.398249399999997,-66.0527599,State Top Employer,True,False,False,False
TALLULAH-LA,"TALLULAH, LA",1,32.4084765,-91.1867771,State Top Employer,True,False,False,False
SYRACUSE-NY,"SYRACUSE, NY",1,43.0481221,-76.1474244,National Top Worksite,False,False,False,True
SUNRISE-FL,"SUNRISE, FL",1,26.148244899999998,-80.3288859410087,State Top Employer,True,False,False,False
BOWIE-MD,"BOWIE, MD",1,38.9429659,-76.731234,State Top Employer,True,False,False,False
ST THOMAS-PR,"ST THOMAS, PR",1,30.074244,-95.99333100000001,State Top Employer,True,False,False,False
BUFFALO-NY,"BUFFALO, NY",1,42.8867166,-78.87839220000001,National Top Employer,False,False,True,False
TUSCALOOSA-AL,"TUSCALOOSA, AL",1,33.2668398,-87.4862182,State Top Employer,True,False,False,False
ST ALBANS-VT,"ST ALBANS, VT",1,44.8108791,-73.08319240000002,State Top Employer,True,False,False,False
WESSON-MS,"WESSON, MS",1,31.701277,-90.3975928,State Top Employer,True,False,False,False
WEST LAFAYETTE-IN,"WEST LAFAYETTE, IN",1,40.4258686,-86.9080655,State Top Employer,True,False,False,False
YABUCOA-PR,"YABUCOA, PR",1,18.0783082,-65.8383798,State Top Employer,True,False,False,False
WYOMING-WY,"WYOMING, WY",1,41.4787714,-105.6391459,State Top Employer,True,False,False,False
WORTHINGTON-MN,"WORTHINGTON, MN",1,43.6205056,-95.5956434,State Top Employer,True,False,False,False
AKRON-SD,"AKRON, SD",1,42.83821210000001,-96.56259909999999,State Top Employer,True,False,False,False
ALBANY-MP,"ALBANY, NY",1,42.652578999999996,-73.756232,State Top Employer,True,False,False,False
WORLAND-WY,"WORLAND, WY",1,44.016833,-107.9558,State Top Employer,True,False,False,False
WOODSTOCK-VT,"WOODSTOCK, VT",1,43.6244967,-72.518794,State Top Employer,True,False,False,False
WOODBURY-MN,"WOODBURY, MN",1,44.92317,-92.9588282,State Top Employer,True,False,False,False
ALPHARETTA-GU,"ALPHARETTA, GU",1,34.0709576,-84.2747329,State Top Employer,True,False,False,False
WINFIELD-KS,"WINFIELD, KS",1,37.239748600000006,-96.99559190000001,State Top Employer,True,False,False,False
WEST HARTFORD-CT,"WEST HARTFORD, CT",1,41.762044700000004,-72.74203990000001,State Top Employer,True,False,False,False
WILTON-ND,"WILTON, ND",1,47.158747999999996,-100.786644,State Top Employer,True,False,False,False
ANNISTON-AL,"ANNISTON, AL",1,33.695381,-85.8398422788233,State Top Employer,True,False,False,False
APPLE VALLEY-MN,"APPLE VALLEY, MN",1,44.7319094,-93.21772,State Top Employer,True,False,False,False
APPLETON-WY,"APPLETON, WY",1,44.26113370000001,-88.40676040000001,State Top Employer,True,False,False,False
WILLISTON-VT,"WILLISTON, VT",1,44.437702,-73.06869499999999,State Top Employer,True,False,False,False
ARLINGTON-VA,"ARLINGTON, VA",1,38.890396100000004,-77.0841585,State Top Employer,True,False,False,False
WHTIE RIVER JUNCTION-VT,"WHTIE RIVER JUNCTION, VT",1,43.648959999999995,-72.31925799999999,State Top Employer,True,False,False,False
WEYMOUTH-ME,"WEYMOUTH, ME",1,44.966727399999996,-69.329491,State Top Employer,True,False,False,False
AUBURN-ME,"AUBURN, ME",1,44.0978509,-70.2311655,State Top Employer,True,False,False,False
WESTERVILLE-OH,"WESTERVILLE, OH",1,40.126174299999995,-82.9290696,State Top Employer,True,False,False,False
WEST MEMPHIS-AR,"WEST MEMPHIS, AR",1,35.1464797,-90.1845388,State Top Employer,True,False,False,False
WILTON-CT,"WILTON, CT",1,41.1953739,-73.4378988,State Top Employer,True,False,False,False
SPRINGVILLE-UT,"SPRINGVILLE, UT",1,40.1668572,-111.6109221,State Top Employer,True,False,False,False
KEYSER-WV,"KEYSER, WV",1,39.4409277,-78.9739156,State Top Employer,True,False,False,False
CENTENNIAL-CO,"CENTENNIAL, CO",1,39.5680644,-104.97783081285,State Top Employer,True,False,False,False
SAINT LOUIS-MO,"SAINT LOUIS, MO",1,38.62727329999999,-90.19788890000001,State Top Employer,True,False,False,False
SALT LAKE CITY-VT,"SALT LAKE CITY, VT",1,40.760779,-111.891047,State Top Employer,True,False,False,False
COLUMBIA-MT,"COLUMBIA, MT",1,48.379964,-114.18040400000001,State Top Employer,True,False,False,False
SHIPROCK-NM,"SHIPROCK, NM",1,36.786303499999995,-108.6845578,State Top Employer,True,False,False,False
SHINNSTON-WV,"SHINNSTON, WV",1,39.395365399999996,-80.3008402,State Top Employer,True,False,False,False
CHARLOTTE AMALIE - ST. THOMAS-VI,"CHARLOTTE AMALIE ,  ST. THOMAS, VI",1,18.341137,-64.932789,State Top Employer,True,False,False,False
CLIVE-IA,"CLIVE, IA",1,41.6096029,-93.7754352,State Top Employer,True,False,False,False
SMITHFIELD-RI,"SMITHFIELD, RI",1,41.9220433,-71.54950699999999,State Top Employer,True,False,False,False
SMYRNA-LA,"SMYRNA, LA",1,39.299833899999996,-75.6046494,State Top Employer,True,False,False,False
SHELBURNE-VT,"SHELBURNE, VT",1,44.380803,-73.227654,State Top Employer,True,False,False,False
CLAY CENTER-KS,"CLAY CENTER, KS",1,39.376940999999995,-97.12474300000001,State Top Employer,True,False,False,False
SALTILLO-MS,"SALTILLO, MS",1,34.376492299999995,-88.68172009999999,State Top Employer,True,False,False,False
CENTERVILLE-SD,"CENTERVILLE, SD",1,43.119433,-96.961437,State Top Employer,True,False,False,False
CHESTERFIELD-MT,"CHESTERFIELD, MT",1,42.863693,-72.536201,State Top Employer,True,False,False,False
SIMI VALLEY-CA,"SIMI VALLEY, CA",1,34.2694474,-118.78148200000001,National Top Employer,False,False,True,False
SOUTH WILLIAMSON-KY,"SOUTH WILLIAMSON, KY",1,37.6720811,-82.283925,State Top Employer,True,False,False,False
RONAN-MT,"RONAN, MT",1,47.52882329999999,-114.10150130000001,State Top Employer,True,False,False,False
CAROLINA-PR,"CAROLINA, PR",1,18.380326,-65.962621,State Top Employer,True,False,False,False
SOUTH WINDSOR-CT,"SOUTH WINDSOR, CT",1,41.8489872,-72.5717551,State Top Employer,True,False,False,False
SAN JUAN CAPISTRANO-CA,"SAN JUAN CAPISTRANO, CA",1,33.5016932,-117.66255090000001,National Top Worksite,False,False,False,True
RUMFORD-RI,"RUMFORD, RI",1,41.845378100000005,-71.3519985,State Top Employer,True,False,False,False
CORVALLIS-OR,"CORVALLIS, OR",1,44.5645659,-123.2620435,State Top Employer,True,False,False,False
SOUIX FALLS-SD,"SOUIX FALLS, SD",1,43.544596000000006,-96.731103,State Top Employer,True,False,False,False
CARY-ND,"CARY, ND",1,35.740371,-78.785189,State Top Employer,True,False,False,False
SANDY-UT,"SANDY, UT",1,40.572851,-111.833449631627,State Top Employer,True,False,False,False
S BURLINGTON-VT,"S BURLINGTON, VT",1,44.4669941,-73.1709604,State Top Employer,True,False,False,False
SABANA HOYOS-PR,"SABANA HOYOS, PR",1,18.442227,-66.6119174,State Top Employer,True,False,False,False
CLOVIS-NM,"CLOVIS, NM",1,34.405471999999996,-103.20507090000001,State Top Employer,True,False,False,False
SAN ANTONIO-TX,"SAN ANTONIO, TX",1,29.424600199999997,-98.4951405,National Top Worksite,False,False,False,True
CONWAY-AR,"CONWAY, AR",1,35.0887,-92.442101,State Top Employer,True,False,False,False
PITTSFIELD-ME,"PITTSFIELD, ME",2,44.78281,-69.38346899999999,"State Top Employer, State Top Employer",True,False,False,False
WHITESTOWN-IN,"WHITESTOWN, IN",2,39.9972626,-86.3458296,"State Top Employer, State Top Employer",True,False,False,False
SPARKS-NV,"SPARKS, NV",2,39.5348431,-119.7527683,"State Top Employer, State Top Employer",True,False,False,False
SAINT ALBANS-VT,"SAINT ALBANS, VT",2,44.8108791,-73.08319240000002,"State Top Employer, State Top Employer",True,False,False,False
SAIPAN-MP,"SAIPAN, MP",2,15.1658865,145.70801597381399,"State Top Employer, State Top Employer",True,False,False,False
WINDSOR-CT,"WINDSOR, CT",2,41.8647224,-72.6547277873828,"State Top Employer, State Top Employer",True,False,False,False
YARMOUTH-ME,"YARMOUTH, ME",2,43.8006354,-70.1867161,"State Top Employer, State Top Employer",True,False,False,False
LINTON-ND,"LINTON, ND",2,46.266657,-100.232892,"State Top Employer, State Top Employer",True,False,False,False
WINOOSKI-VT,"WINOOSKI, VT",2,44.495036,-73.183022,"State Top Employer, State Top Employer",True,False,False,False
LEWISTON-ID,"LEWISTON, ID",2,46.4165506,-117.01765690000002,"State Top Employer, State Top Employer",True,False,False,False
LEWISBURG-WV,"LEWISBURG, WV",2,37.801787899999994,-80.44563029999999,"State Top Employer, State Top Employer",True,False,False,False
LEWES-DE,"LEWES, DE",2,38.7745565,-75.1393498,"State Top Employer, State Top Employer",True,False,False,False
LEAWOOD-KS,"LEAWOOD, KS",2,38.966673,-94.6169012,"State Top Employer, State Top Employer",True,False,False,False
LAWTON-OK,"LAWTON, OK",2,34.6086854,-98.3903305,"State Top Employer, State Top Employer",True,False,False,False
RUSSELLVILLE-AR,"RUSSELLVILLE, AR",2,35.278417299999994,-93.1337856,"State Top Employer, State Top Employer",True,False,False,False
ROUND ROCK-TX,"ROUND ROCK, TX",2,30.508235,-97.6788934,"National Top Employer, National Top Employer",False,False,True,False
PLANTATION-FL,"PLANTATION, FL",2,26.1265258,-80.257861237651,"National Top Employer, State Top Employer",True,False,True,False
WHEELING-WV,"WHEELING, WV",2,40.063961600000006,-80.72091490000001,"State Top Employer, State Top Employer",True,False,False,False
SANTA TERESA-NM,"SANTA TERESA, NM",2,36.153350399999994,-106.67948170000001,"State Top Employer, State Top Employer",True,False,False,False
WESTMINSTER-VT,"WESTMINSTER, VT",2,43.067857000000004,-72.4586995,"State Top Employer, State Top Employer",True,False,False,False
SOUTHINGTON-CT,"SOUTHINGTON, CT",2,41.60041405,-72.8795904041817,"State Top Employer, State Top Employer",True,False,False,False
ST LOUIS-MO,"ST LOUIS, MO",2,38.62727329999999,-90.19788890000001,"State Top Employer, State Top Employer",True,False,False,False
ST. FRANCIS-SD,"ST. FRANCIS, SD",2,43.1444497,-100.9051465,"State Top Employer, State Top Employer",True,False,False,False
STARKVILLE-MS,"STARKVILLE, MS",2,33.4503998,-88.8183872,"State Top Employer, State Top Employer",True,False,False,False
STILLWATER-OK,"STILLWATER, OK",2,36.1156306,-97.0585717,"State Top Employer, State Top Employer",True,False,False,False
NEWPORT-RI,"NEWPORT, RI",2,41.489982700000006,-71.3137707,"State Top Employer, State Top Employer",True,False,False,False
NEWPORT-VT,"NEWPORT, VT",2,44.936127,-72.204895,"State Top Employer, State Top Employer",True,False,False,False
NEWTOWN-PA,"NEWTOWN, PA",2,40.2294046,-74.9365329,"State Top Employer, State Top Employer",True,False,False,False
TAMPA-FM,"TAMPA, FM",2,27.9475216,-82.459539,"State Top Employer, State Top Employer",True,False,False,False
THACKERVILLE-OK,"THACKERVILLE, OK",2,33.793437299999994,-97.1430681,"State Top Employer, State Top Employer",True,False,False,False
TOPEKA-KS,"TOPEKA, KS",2,39.049011,-95.67755600000001,"State Top Employer, State Top Employer",True,False,False,False
MITCHELL-SD,"MITCHELL, SD",2,43.70953,-98.025379,"State Top Employer, State Top Employer",True,False,False,False
SOLDOTNA-AK,"SOLDOTNA, AK",2,60.4847228,-151.06534950000002,"State Top Employer, State Top Employer",True,False,False,False
MANGILAO-GU,"MANGILAO, GU",2,13.443991500000001,144.805052811947,"State Top Employer, State Top Employer",True,False,False,False
SOCORRO-NM,"SOCORRO, NM",2,34.0572769,-106.8930169,"State Top Employer, State Top Employer",True,False,False,False
MILTON-WV,"MILTON, WV",2,38.4345321,-82.1323637,"State Top Employer, State Top Employer",True,False,False,False
METAIRIE-LA,"METAIRIE, LA",2,30.001852000000003,-90.17671491598878,"State Top Employer, State Top Employer",True,False,False,False
MERIDIAN-MS,"MERIDIAN, MS",2,32.3643098,-88.70365600000001,"State Top Employer, State Top Employer",True,False,False,False
SIOUX CITY-IA,"SIOUX CITY, IA",2,42.4966815,-96.4058782,"State Top Employer, State Top Employer",True,False,False,False
MERIDEN-NH,"MERIDEN, NH",2,43.5439607,-72.2525905,"State Top Employer, State Top Employer",True,False,False,False
WARREN-MI,"WARREN, MI",2,42.4775364,-83.02770009999999,"State Top Employer, State Top Employer",True,False,False,False
MENOMONEE FALLS-WI,"MENOMONEE FALLS, WI",2,43.178932200000006,-88.1167148,"State Top Employer, State Top Employer",True,False,False,False
WARRENSBURG-MO,"WARRENSBURG, MO",2,38.7627893,-93.7360498,"State Top Employer, State Top Employer",True,False,False,False
SILVER SPRING-MD,"SILVER SPRING, MD",2,38.9959081,-77.0288918,"State Top Employer, State Top Employer",True,False,False,False
SPRINGFIELD-IL,"SPRINGFIELD, IL",2,39.7989763,-89.6443688,"National Top Employer, State Top Employer",True,False,True,False
PARKERSBURG-WV,"PARKERSBURG, WV",2,39.2699565,-81.5506916,"State Top Employer, State Top Employer",True,False,False,False
PENUELAS-PR,"PENUELAS, PR",2,18.0746556,-66.694144,"State Top Employer, State Top Employer",True,False,False,False
MARYLAND HEIGHTS-MO,"MARYLAND HEIGHTS, MO",2,38.7131073,-90.42984009999999,"State Top Employer, State Top Employer",True,False,False,False
MINOT-ND,"MINOT, ND",2,48.23251,-101.296273,"State Top Employer, State Top Employer",True,False,False,False
ROCKLAND-ME,"ROCKLAND, ME",2,44.104352,-69.108124,"State Top Employer, State Top Employer",True,False,False,False
YIGO-GU,"YIGO, GU",2,13.5352045,144.897156946731,"State Top Employer, State Top Employer",True,False,False,False
KEENE-NH,"KEENE, NH",2,42.933597,-72.27842640000001,"State Top Employer, State Top Employer",True,False,False,False
DUBUQUE-IA,"DUBUQUE, IA",2,42.5006217,-90.66479670000001,"State Top Employer, State Top Employer",True,False,False,False
EDEN PRAIRIE-MN,"EDEN PRAIRIE, MN",2,44.8546856,-93.470786,"State Top Employer, State Top Employer",True,False,False,False
EDMOND-OK,"EDMOND, OK",2,35.6571367,-97.46490379999999,"State Top Employer, State Top Employer",True,False,False,False
BUFFALO-WY,"BUFFALO, WY",2,44.348308,-106.69893799999998,"State Top Employer, State Top Employer",True,False,False,False
FAJARDO-PR,"FAJARDO, PR",2,18.325787,-65.652384,"State Top Employer, State Top Employer",True,False,False,False
FALMOUTH-ME,"FALMOUTH, ME",2,43.729525,-70.24199300000001,"State Top Employer, State Top Employer",True,False,False,False
AURORA-IL,"AURORA, IL",2,41.7571701,-88.31475390000001,"National Top Employer, National Top Worksite",False,False,True,True
BRONX-NY,"BRONX, NY",2,40.85703325,-73.8366961598775,"National Top Employer, National Top Worksite",False,False,True,True
